run_id,map_id,image_file,total_count,dr_count
current_run,map_1,images/current_run_map_1.png,112,50
current_run,map_2,images/current_run_map_2.png,105,49
current_run,map_3,images/current_run_map_3.png,113,45
current_run,map_4,images/current_run_map_4.png,109,49
peer_tool_1,map_1,images/peer_tool_1_map_1.png,73,33
peer_tool_1,map_2,images/peer_tool_1_map_2.png,77,43
peer_tool_1,map_3,images/peer_tool_1_map_3.png,88,29
peer_tool_1,map_4,images/peer_tool_1_map_4.png,103,34
peer_tool_2,map_1,images/peer_tool_2_map_1.png,77,28
peer_tool_2,map_2,images/peer_tool_2_map_2.png,75,20
peer_tool_2,map_3,images/peer_tool_2_map_3.png,77,37
peer_tool_2,map_4,images/peer_tool_2_map_4.png,83,26
peer_tool_3,map_1,images/peer_tool_3_map_1.png,119,51
peer_tool_3,map_2,images/peer_tool_3_map_2.png,114,53
peer_tool_3,map_3,images/peer_tool_3_map_3.png,132,51
peer_tool_3,map_4,images/peer_tool_3_map_4.png,117,58
history_run_1,map_1,images/history_run_1_map_1.png,154,45
history_run_1,map_2,images/history_run_1_map_2.png,146,78
history_run_1,map_3,images/history_run_1_map_3.png,140,80
history_run_1,map_4,images/history_run_1_map_4.png,169,58
history_run_2,map_1,images/history_run_2_map_1.png,76,35
history_run_2,map_2,images/history_run_2_map_2.png,99,43
history_run_2,map_3,images/history_run_2_map_3.png,99,49
history_run_2,map_4,images/history_run_2_map_4.png,89,53
history_run_3,map_1,images/history_run_3_map_1.png,80,34
history_run_3,map_2,images/history_run_3_map_2.png,76,54
history_run_3,map_3,images/history_run_3_map_3.png,66,36
history_run_3,map_4,images/history_run_3_map_4.png,96,45
