run_id,thickness,range,edge_thk,edge_range
current_run,741.8,1.06,734.4,1.29
current_run,741.9,1.07,734.5,1.3
current_run,742.0,1.08,734.6,1.31
current_run,742.1,1.09,734.7,1.32
current_run,742.3,1.11,734.9,1.34
current_run,742.4,1.12,735.0,1.35
current_run,742.5,1.13,735.1,1.36
current_run,742.6,1.14,735.2,1.37
current_run,742.7,1.15,735.3,1.38
current_run,742.9,1.17,735.5,1.4
peer_tool_1,733.1,0.9,733.3,1.07
peer_tool_1,733.6,0.95,733.8,1.12
peer_tool_1,734.0,0.99,734.2,1.16
peer_tool_1,734.4,1.03,734.6,1.2
peer_tool_1,734.7,1.06,734.9,1.23
peer_tool_1,735.0,1.09,735.2,1.26
peer_tool_1,735.3,1.12,735.5,1.29
peer_tool_1,735.7,1.16,735.9,1.33
peer_tool_1,736.1,1.2,736.3,1.37
peer_tool_1,736.5,1.24,736.7,1.41
peer_tool_2,733.2,0.98,733.1,1.18
peer_tool_2,733.7,1.03,733.6,1.23
peer_tool_2,734.2,1.08,734.1,1.28
peer_tool_2,734.7,1.13,734.6,1.33
peer_tool_2,735.1,1.17,735.0,1.37
peer_tool_2,735.5,1.21,735.4,1.41
peer_tool_2,736.0,1.26,735.9,1.46
peer_tool_2,736.5,1.31,736.4,1.51
peer_tool_2,737.0,1.36,736.9,1.56
peer_tool_2,737.4,1.4,737.3,1.6
history_run_1,733.4,0.94,733.2,1.17
history_run_1,733.9,0.99,733.7,1.22
history_run_1,734.3,1.03,734.1,1.26
history_run_1,734.7,1.07,734.5,1.3
history_run_1,735.0,1.1,734.8,1.33
history_run_1,735.3,1.13,735.1,1.36
history_run_1,735.6,1.16,735.4,1.39
history_run_1,736.0,1.2,735.8,1.43
history_run_1,736.4,1.24,736.2,1.47
history_run_1,736.8,1.28,736.6,1.51
history_run_2,732.7,0.86,732.9,1.03
history_run_2,733.2,0.91,733.4,1.08
history_run_2,733.7,0.96,733.9,1.13
history_run_2,734.2,1.01,734.4,1.18
history_run_2,734.6,1.05,734.8,1.22
history_run_2,735.0,1.09,735.2,1.26
history_run_2,735.5,1.14,735.7,1.31
history_run_2,736.0,1.19,736.2,1.36
history_run_2,736.5,1.24,736.7,1.41
history_run_2,736.9,1.28,737.1,1.45
history_run_3,733.6,1.02,733.5,1.22
history_run_3,734.1,1.07,734.0,1.27
history_run_3,734.5,1.11,734.4,1.31
history_run_3,734.9,1.15,734.8,1.35
history_run_3,735.2,1.18,735.1,1.38
history_run_3,735.5,1.21,735.4,1.41
history_run_3,735.8,1.24,735.7,1.44
history_run_3,736.2,1.28,736.1,1.48
history_run_3,736.6,1.32,736.5,1.52
history_run_3,737.0,1.36,736.9,1.56
